"Date","Price","Open","High","Low","Change %"
"Aug 10, 2022","1.0301","1.0208","1.0368","1.0202","0.91%"
"Aug 09, 2022","1.0208","1.0197","1.0247","1.0189","0.10%"
"Aug 08, 2022","1.0198","1.0172","1.0222","1.0159","0.17%"
"Aug 05, 2022","1.0181","1.0247","1.0253","1.0141","-0.61%"
"Aug 04, 2022","1.0243","1.0162","1.0254","1.0154","0.78%"
"Aug 03, 2022","1.0164","1.0166","1.0210","1.0122","0.00%"
"Aug 02, 2022","1.0164","1.0261","1.0295","1.0163","-0.95%"
"Aug 01, 2022","1.0261","1.0218","1.0276","1.0205","0.42%"
"Jul 29, 2022","1.0218","1.0196","1.0255","1.0145","0.22%"
"Jul 28, 2022","1.0196","1.0198","1.0236","1.0114","-0.06%"
"Jul 27, 2022","1.0202","1.0116","1.0222","1.0096","0.87%"
"Jul 26, 2022","1.0114","1.0220","1.0251","1.0107","-1.04%"
"Jul 25, 2022","1.0220","1.0212","1.0259","1.0179","0.08%"
"Jul 22, 2022","1.0212","1.0230","1.0256","1.0129","-0.16%"
"Jul 21, 2022","1.0228","1.0178","1.0279","1.0153","0.50%"
"Jul 20, 2022","1.0177","1.0228","1.0274","1.0155","-0.46%"
"Jul 19, 2022","1.0224","1.0143","1.0270","1.0120","0.82%"
"Jul 18, 2022","1.0141","1.0085","1.0202","1.0078","0.54%"
"Jul 15, 2022","1.0087","1.0018","1.0099","1.0007","0.71%"
"Jul 14, 2022","1.0016","1.0061","1.0065","0.9952","-0.44%"
"Jul 13, 2022","1.0060","1.0040","1.0123","0.9998","0.24%"
"Jul 12, 2022","1.0036","1.0040","1.0074","0.9999","-0.03%"
"Jul 11, 2022","1.0039","1.0173","1.0185","1.0034","-1.41%"
"Jul 08, 2022","1.0183","1.0159","1.0193","1.0072","0.24%"
"Jul 07, 2022","1.0159","1.0181","1.0222","1.0144","-0.22%"
"Jul 06, 2022","1.0181","1.0268","1.0277","1.0161","-0.83%"
"Jul 05, 2022","1.0266","1.0419","1.0450","1.0235","-1.49%"
"Jul 04, 2022","1.0421","1.0424","1.0464","1.0417","-0.07%"
"Jul 01, 2022","1.0428","1.0481","1.0487","1.0366","-0.52%"
"Jun 30, 2022","1.0482","1.0441","1.0489","1.0382","0.41%"
"Jun 29, 2022","1.0439","1.0518","1.0537","1.0434","-0.75%"
"Jun 28, 2022","1.0518","1.0585","1.0607","1.0503","-0.61%"
"Jun 27, 2022","1.0583","1.0555","1.0616","1.0549","0.26%"
"Jun 24, 2022","1.0556","1.0526","1.0572","1.0511","0.31%"
"Jun 23, 2022","1.0523","1.0567","1.0582","1.0482","-0.40%"
"Jun 22, 2022","1.0565","1.0527","1.0606","1.0468","0.38%"
"Jun 21, 2022","1.0525","1.0510","1.0583","1.0508","0.15%"
"Jun 20, 2022","1.0509","1.0472","1.0546","1.0472","0.10%"
"Jun 17, 2022","1.0498","1.0548","1.0560","1.0445","-0.46%"
"Jun 16, 2022","1.0547","1.0442","1.0602","1.0381","1.00%"
"Jun 15, 2022","1.0443","1.0417","1.0509","1.0359","0.28%"
"Jun 14, 2022","1.0414","1.0411","1.0486","1.0396","0.06%"
"Jun 13, 2022","1.0408","1.0513","1.0520","1.0400","-1.02%"
"Jun 10, 2022","1.0515","1.0617","1.0644","1.0505","-0.93%"
"Jun 09, 2022","1.0614","1.0717","1.0775","1.0611","-0.93%"
"Jun 08, 2022","1.0714","1.0700","1.0749","1.0671","0.14%"
"Jun 07, 2022","1.0699","1.0695","1.0715","1.0652","0.05%"
"Jun 06, 2022","1.0694","1.0722","1.0753","1.0683","-0.22%"
"Jun 03, 2022","1.0718","1.0747","1.0765","1.0704","-0.25%"
"Jun 02, 2022","1.0745","1.0649","1.0751","1.0645","0.93%"
"Jun 01, 2022","1.0646","1.0734","1.0739","1.0626","-0.81%"
"May 31, 2022","1.0733","1.0778","1.0780","1.0678","-0.41%"
"May 30, 2022","1.0777","1.0737","1.0788","1.0726","0.47%"
"May 27, 2022","1.0727","1.0726","1.0766","1.0697","0.03%"
"May 26, 2022","1.0724","1.0684","1.0733","1.0662","0.41%"
"May 25, 2022","1.0680","1.0735","1.0740","1.0642","-0.50%"
"May 24, 2022","1.0734","1.0690","1.0749","1.0661","0.42%"
"May 23, 2022","1.0689","1.0572","1.0698","1.0558","1.22%"
"May 20, 2022","1.0560","1.0586","1.0599","1.0532","-0.25%"
"May 19, 2022","1.0586","1.0470","1.0608","1.0460","1.15%"
"May 18, 2022","1.0466","1.0549","1.0565","1.0460","-0.77%"
"May 17, 2022","1.0547","1.0434","1.0556","1.0429","1.11%"
"May 16, 2022","1.0431","1.0405","1.0444","1.0388","0.19%"
"May 13, 2022","1.0411","1.0379","1.0421","1.0350","0.31%"
"May 12, 2022","1.0379","1.0512","1.0530","1.0353","-1.26%"
"May 11, 2022","1.0511","1.0529","1.0577","1.0502","-0.15%"
"May 10, 2022","1.0527","1.0557","1.0586","1.0525","-0.27%"
"May 09, 2022","1.0555","1.0552","1.0594","1.0495","0.04%"
"May 06, 2022","1.0551","1.0544","1.0601","1.0482","0.10%"
"May 05, 2022","1.0540","1.0623","1.0642","1.0493","-0.76%"
"May 04, 2022","1.0621","1.0516","1.0632","1.0505","0.96%"
"May 03, 2022","1.0520","1.0502","1.0579","1.0491","0.10%"
"May 02, 2022","1.0510","1.0536","1.0567","1.0491","-0.30%"
"Apr 29, 2022","1.0541","1.0498","1.0593","1.0491","0.45%"
"Apr 28, 2022","1.0494","1.0557","1.0566","1.0471","-0.58%"
"Apr 27, 2022","1.0555","1.0638","1.0655","1.0513","-0.76%"
"Apr 26, 2022","1.0636","1.0713","1.0740","1.0635","-0.70%"
"Apr 25, 2022","1.0711","1.0841","1.0842","1.0697","-0.77%"
"Apr 22, 2022","1.0794","1.0838","1.0853","1.0770","-0.39%"
"Apr 21, 2022","1.0836","1.0853","1.0937","1.0824","-0.13%"
"Apr 20, 2022","1.0850","1.0788","1.0868","1.0783","0.59%"
"Apr 19, 2022","1.0786","1.0783","1.0815","1.0761","0.06%"
"Apr 18, 2022","1.0780","1.0805","1.0822","1.0769","-0.24%"
"Apr 15, 2022","1.0806","1.0828","1.0832","1.0796","-0.19%"
"Apr 14, 2022","1.0827","1.0887","1.0925","1.0757","-0.53%"
"Apr 13, 2022","1.0885","1.0830","1.0896","1.0809","0.54%"
"Apr 12, 2022","1.0826","1.0882","1.0905","1.0821","-0.52%"
"Apr 11, 2022","1.0883","1.0935","1.0951","1.0872","0.06%"
"Apr 08, 2022","1.0876","1.0879","1.0892","1.0836","-0.02%"
"Apr 07, 2022","1.0878","1.0893","1.0939","1.0864","-0.14%"
"Apr 06, 2022","1.0893","1.0906","1.0939","1.0874","-0.09%"
"Apr 05, 2022","1.0903","1.0973","1.0990","1.0899","-0.61%"
"Apr 04, 2022","1.0970","1.1039","1.1056","1.0960","-0.75%"
"Apr 01, 2022","1.1053","1.1065","1.1077","1.1027","-0.11%"
"Mar 31, 2022","1.1065","1.1158","1.1185","1.1061","-0.82%"
"Mar 30, 2022","1.1156","1.1087","1.1171","1.1083","0.64%"
"Mar 29, 2022","1.1085","1.0980","1.1137","1.0970","0.97%"
"Mar 28, 2022","1.0978","1.0989","1.1000","1.0944","-0.03%"
"Mar 25, 2022","1.0981","1.0994","1.1039","1.0979","-0.14%"
"Mar 24, 2022","1.0996","1.1004","1.1014","1.0965","-0.07%"
"Mar 23, 2022","1.1004","1.1027","1.1044","1.0963","-0.21%"
"Mar 22, 2022","1.1027","1.1018","1.1047","1.0960","0.12%"
"Mar 21, 2022","1.1014","1.1059","1.1070","1.1010","-0.37%"
"Mar 18, 2022","1.1055","1.1091","1.1120","1.1003","-0.31%"
"Mar 17, 2022","1.1089","1.1036","1.1138","1.1008","0.52%"
"Mar 16, 2022","1.1032","1.0956","1.1048","1.0948","0.74%"
"Mar 15, 2022","1.0951","1.0940","1.1020","1.0926","0.11%"
"Mar 14, 2022","1.0939","1.0943","1.0994","1.0900","0.28%"
"Mar 11, 2022","1.0909","1.0984","1.1044","1.0901","-0.67%"
"Mar 10, 2022","1.0983","1.1075","1.1121","1.0976","-0.83%"
"Mar 09, 2022","1.1075","1.0903","1.1096","1.0890","1.61%"
"Mar 08, 2022","1.0899","1.0855","1.0960","1.0848","0.43%"
"Mar 07, 2022","1.0852","1.0953","1.0953","1.0805","-0.68%"
"Mar 04, 2022","1.0926","1.1068","1.1069","1.0886","-1.25%"
"Mar 03, 2022","1.1064","1.1118","1.1125","1.1033","-0.51%"
"Mar 02, 2022","1.1121","1.1127","1.1147","1.1057","-0.04%"
"Mar 01, 2022","1.1126","1.1218","1.1234","1.1090","-0.83%"
"Feb 28, 2022","1.1219","1.1179","1.1247","1.1122","-0.43%"
"Feb 25, 2022","1.1267","1.1192","1.1275","1.1165","0.68%"
"Feb 24, 2022","1.1191","1.1313","1.1314","1.1106","-1.04%"
"Feb 23, 2022","1.1309","1.1327","1.1359","1.1300","-0.14%"
"Feb 22, 2022","1.1325","1.1312","1.1367","1.1287","0.13%"
"Feb 21, 2022","1.1310","1.1315","1.1391","1.1306","-0.10%"
"Feb 18, 2022","1.1321","1.1362","1.1378","1.1314","-0.34%"
"Feb 17, 2022","1.1360","1.1374","1.1386","1.1322","-0.11%"
"Feb 16, 2022","1.1373","1.1360","1.1396","1.1344","0.15%"
"Feb 15, 2022","1.1356","1.1307","1.1369","1.1301","0.45%"
"Feb 14, 2022","1.1305","1.1344","1.1370","1.1279","-0.39%"
"Feb 11, 2022","1.1349","1.1428","1.1431","1.1329","-0.68%"
"Feb 10, 2022","1.1427","1.1429","1.1496","1.1374","0.04%"
"Feb 09, 2022","1.1422","1.1416","1.1449","1.1402","0.07%"
"Feb 08, 2022","1.1414","1.1443","1.1450","1.1395","-0.24%"
"Feb 07, 2022","1.1442","1.1468","1.1469","1.1415","-0.06%"
"Feb 04, 2022","1.1449","1.1439","1.1485","1.1411","0.10%"
"Feb 03, 2022","1.1438","1.1306","1.1452","1.1267","1.19%"
"Feb 02, 2022","1.1303","1.1270","1.1331","1.1266","0.30%"
"Feb 01, 2022","1.1269","1.1234","1.1279","1.1221","0.32%"
"Jan 31, 2022","1.1233","1.1147","1.1249","1.1138","0.81%"
"Jan 28, 2022","1.1143","1.1146","1.1174","1.1121","0.00%"
"Jan 27, 2022","1.1143","1.1240","1.1244","1.1132","-0.84%"
"Jan 26, 2022","1.1237","1.1301","1.1312","1.1235","-0.55%"
"Jan 25, 2022","1.1299","1.1324","1.1330","1.1263","-0.21%"
"Jan 24, 2022","1.1323","1.1343","1.1346","1.1290","-0.15%"
"Jan 21, 2022","1.1340","1.1312","1.1360","1.1300","0.27%"
"Jan 20, 2022","1.1310","1.1342","1.1370","1.1302","-0.27%"
"Jan 19, 2022","1.1341","1.1321","1.1358","1.1318","0.14%"
"Jan 18, 2022","1.1325","1.1408","1.1422","1.1314","-0.72%"
"Jan 17, 2022","1.1407","1.1414","1.1436","1.1392","-0.06%"
"Jan 14, 2022","1.1414","1.1454","1.1484","1.1398","-0.34%"
"Jan 13, 2022","1.1453","1.1443","1.1482","1.1435","0.10%"
"Jan 12, 2022","1.1442","1.1366","1.1453","1.1354","0.69%"
"Jan 11, 2022","1.1364","1.1325","1.1375","1.1313","0.35%"
"Jan 10, 2022","1.1324","1.1353","1.1362","1.1285","-0.31%"
"Jan 07, 2022","1.1359","1.1293","1.1365","1.1289","0.60%"
"Jan 06, 2022","1.1291","1.1314","1.1332","1.1285","-0.19%"
"Jan 05, 2022","1.1313","1.1287","1.1347","1.1277","0.25%"
"Jan 04, 2022","1.1285","1.1298","1.1323","1.1272","-0.08%"
"Jan 03, 2022","1.1294","1.1365","1.1381","1.1279","-0.65%"
"Dec 31, 2021","1.1368","1.1324","1.1387","1.1302","0.40%"
"Dec 30, 2021","1.1323","1.1349","1.1360","1.1298","-0.22%"
"Dec 29, 2021","1.1348","1.1310","1.1370","1.1273","0.34%"
"Dec 28, 2021","1.1309","1.1329","1.1335","1.1289","-0.14%"
"Dec 27, 2021","1.1325","1.1318","1.1335","1.1302","0.07%"
"Dec 24, 2021","1.1317","1.1330","1.1344","1.1303","-0.10%"
"Dec 23, 2021","1.1328","1.1325","1.1343","1.1289","0.04%"
"Dec 22, 2021","1.1324","1.1279","1.1343","1.1264","0.36%"
"Dec 21, 2021","1.1283","1.1277","1.1303","1.1260","0.07%"
"Dec 20, 2021","1.1275","1.1242","1.1305","1.1234","0.32%"
"Dec 17, 2021","1.1239","1.1330","1.1350","1.1235","-0.79%"
"Dec 16, 2021","1.1328","1.1286","1.1361","1.1280","0.38%"
"Dec 15, 2021","1.1285","1.1259","1.1300","1.1221","0.25%"
"Dec 14, 2021","1.1257","1.1285","1.1327","1.1253","-0.23%"
"Dec 13, 2021","1.1283","1.1316","1.1321","1.1259","-0.25%"
"Dec 10, 2021","1.1311","1.1293","1.1325","1.1264","0.17%"
"Dec 09, 2021","1.1292","1.1342","1.1348","1.1278","-0.44%"
"Dec 08, 2021","1.1342","1.1267","1.1356","1.1264","0.70%"
"Dec 07, 2021","1.1263","1.1287","1.1301","1.1228","-0.19%"
"Dec 06, 2021","1.1285","1.1321","1.1321","1.1266","-0.25%"
"Dec 03, 2021","1.1313","1.1301","1.1334","1.1265","0.12%"
"Dec 02, 2021","1.1299","1.1320","1.1349","1.1294","-0.18%"
"Dec 01, 2021","1.1319","1.1339","1.1360","1.1302","-0.15%"
"Nov 30, 2021","1.1336","1.1291","1.1384","1.1236","0.40%"
"Nov 29, 2021","1.1291","1.1309","1.1316","1.1258","-0.23%"
"Nov 26, 2021","1.1317","1.1209","1.1331","1.1205","0.99%"
"Nov 25, 2021","1.1206","1.1198","1.1231","1.1198","0.08%"
"Nov 24, 2021","1.1197","1.1248","1.1256","1.1185","-0.44%"
"Nov 23, 2021","1.1246","1.1237","1.1276","1.1226","0.11%"
"Nov 22, 2021","1.1234","1.1292","1.1293","1.1230","-0.49%"
"Nov 19, 2021","1.1289","1.1371","1.1374","1.1250","-0.70%"
"Nov 18, 2021","1.1369","1.1319","1.1375","1.1314","0.44%"
"Nov 17, 2021","1.1319","1.1321","1.1333","1.1264","0.00%"
"Nov 16, 2021","1.1319","1.1368","1.1386","1.1309","-0.42%"
"Nov 15, 2021","1.1367","1.1452","1.1465","1.1356","-0.72%"
"Nov 12, 2021","1.1450","1.1454","1.1463","1.1432","0.00%"
